127.0.0.1 - - [26/Aug/2019:17:31:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:31:48 +0530] "GET /EMS/index.html HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:38 +0530] "GET /EMS/index.html HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:39 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:39 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:39 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:39 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:39 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:40 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:41 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:42 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:42 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:42 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:17:32:42 +0530] "GET /EMS/index.html HTTP/1.1" 304 -
